Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-03 00:00:00-04:00,1053.75,1056.25,1041.75,1046.0,126126,0.0,0.0
2024-10-04 00:00:00-04:00,1045.0,1055.25,1036.25,1037.75,136658,0.0,0.0
2024-10-07 00:00:00-04:00,1033.5,1039.0,1026.5,1034.0,170260,0.0,0.0
2024-10-08 00:00:00-04:00,1032.5,1039.5,1011.5,1016.25,215735,0.0,0.0
2024-10-09 00:00:00-04:00,1015.0,1027.25,1011.5,1020.25,185293,0.0,0.0
2024-10-10 00:00:00-04:00,1019.75,1025.5,1011.75,1014.75,158953,0.0,0.0
2024-10-11 00:00:00-04:00,1014.5,1023.75,1004.0,1005.5,213825,0.0,0.0
2024-10-14 00:00:00-04:00,1002.0,1008.5,995.5,996.0,165943,0.0,0.0
2024-10-15 00:00:00-04:00,995.0,996.0,981.0,991.0,239187,0.0,0.0
2024-10-16 00:00:00-04:00,991.0,1001.5,978.25,980.0,247535,0.0,0.0
2024-10-17 00:00:00-04:00,978.75,991.25,968.25,988.75,236377,0.0,0.0
2024-10-18 00:00:00-04:00,989.5,995.5,969.25,970.0,229536,0.0,0.0
2024-10-21 00:00:00-04:00,970.0,983.75,969.0,981.0,184725,0.0,0.0
2024-10-22 00:00:00-04:00,980.5,997.0,976.75,991.75,185249,0.0,0.0
2024-10-23 00:00:00-04:00,992.0,999.75,985.0,997.5,157963,0.0,0.0
2024-10-24 00:00:00-04:00,997.5,1012.25,994.25,996.25,190684,0.0,0.0
2024-10-25 00:00:00-04:00,996.25,996.25,984.0,987.75,143812,0.0,0.0
2024-10-28 00:00:00-04:00,984.0,985.5,973.5,974.0,109011,0.0,0.0
2024-10-29 00:00:00-04:00,974.75,980.5,965.0,965.25,82001,0.0,0.0
2024-10-30 00:00:00-04:00,965.0,979.0,963.75,976.5,57700,0.0,0.0
2024-10-31 00:00:00-04:00,977.5,985.5,975.5,982.5,7820,0.0,0.0
2024-11-01 00:00:00-04:00,984.25,997.25,978.25,982.5,3051,0.0,0.0
2024-11-04 00:00:00-05:00,990.0,995.0,982.5,987.25,1524,0.0,0.0
2024-11-05 00:00:00-05:00,992.25,996.75,991.0,993.75,629,0.0,0.0
2024-11-06 00:00:00-05:00,991.75,997.5,973.0,994.5,391,0.0,0.0
2024-11-07 00:00:00-05:00,997.0,1015.5,989.75,1015.5,545,0.0,0.0
2024-11-08 00:00:00-05:00,1015.0,1030.0,1006.0,1016.75,427,0.0,0.0
2024-11-11 00:00:00-05:00,1020.75,1025.75,1011.0,1011.75,212,0.0,0.0
2024-11-12 00:00:00-05:00,1011.75,1011.75,998.75,1003.5,209,0.0,0.0
2024-11-13 00:00:00-05:00,1001.25,1004.25,999.0,1004.25,86,0.0,0.0
2024-11-14 00:00:00-05:00,990.25,990.25,985.75,985.75,152378,0.0,0.0
2024-11-15 00:00:00-05:00,988.0,1005.25,987.25,998.5,140153,0.0,0.0
2024-11-18 00:00:00-05:00,1002.5,1011.5,989.5,1009.75,107221,0.0,0.0
2024-11-19 00:00:00-05:00,1009.75,1012.75,995.25,998.5,114559,0.0,0.0
2024-11-20 00:00:00-05:00,998.5,1001.5,985.25,990.5,110520,0.0,0.0
2024-11-21 00:00:00-05:00,991.0,998.75,976.25,977.75,145233,0.0,0.0
2024-11-22 00:00:00-05:00,980.75,985.25,975.25,983.5,113875,0.0,0.0
2024-11-25 00:00:00-05:00,987.5,993.25,983.0,985.75,100522,0.0,0.0
2024-11-26 00:00:00-05:00,980.0,991.25,976.75,983.5,131739,0.0,0.0
2024-11-27 00:00:00-05:00,984.0,994.25,983.25,988.75,134095,0.0,0.0
2024-11-29 00:00:00-05:00,993.25,998.0,982.75,989.5,77392,0.0,0.0
2024-12-02 00:00:00-05:00,989.5,990.5,977.5,985.25,124010,0.0,0.0
2024-12-03 00:00:00-05:00,985.0,999.0,983.5,991.75,135065,0.0,0.0
2024-12-04 00:00:00-05:00,991.5,992.0,980.5,983.75,113543,0.0,0.0
2024-12-05 00:00:00-05:00,983.5,994.75,982.25,993.75,109222,0.0,0.0
2024-12-06 00:00:00-05:00,993.0,997.5,987.75,993.75,150604,0.0,0.0
2024-12-09 00:00:00-05:00,992.25,1003.5,985.75,990.0,155123,0.0,0.0
2024-12-10 00:00:00-05:00,990.0,1000.0,988.5,994.75,162231,0.0,0.0
2024-12-11 00:00:00-05:00,994.0,1001.0,988.0,995.5,177510,0.0,0.0
2024-12-12 00:00:00-05:00,995.0,998.25,988.5,995.75,178084,0.0,0.0
2024-12-13 00:00:00-05:00,994.25,995.0,986.0,988.25,97052,0.0,0.0
2024-12-16 00:00:00-05:00,987.5,993.5,981.0,982.0,126195,0.0,0.0
2024-12-17 00:00:00-05:00,982.5,986.25,970.5,976.75,170736,0.0,0.0
2024-12-18 00:00:00-05:00,976.75,977.5,950.25,951.75,171410,0.0,0.0
2024-12-19 00:00:00-05:00,950.25,964.75,945.25,963.0,170407,0.0,0.0
2024-12-20 00:00:00-05:00,962.5,977.5,960.0,974.5,110119,0.0,0.0
2024-12-23 00:00:00-05:00,974.5,979.25,968.0,969.5,73622,0.0,0.0
2024-12-24 00:00:00-05:00,968.25,975.75,966.0,975.25,28802,0.0,0.0
2024-12-26 00:00:00-05:00,979.0,989.75,975.0,988.0,70637,0.0,0.0
2024-12-27 00:00:00-05:00,986.5,989.25,979.25,980.0,56059,0.0,0.0
2024-12-30 00:00:00-05:00,983.5,994.75,974.75,982.0,39468,0.0,0.0
2024-12-31 00:00:00-05:00,980.5,999.5,980.0,998.25,5238,0.0,0.0
2025-01-02 00:00:00-05:00,996.5,1004.0,990.75,999.5,5238,0.0,0.0
2025-01-03 00:00:00-05:00,1011.0,1015.5,995.25,995.75,69359,0.0,0.0
