Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-03 00:00:00-04:00,614.25,617.25,601.25,603.5,78992,0.0,0.0
2024-10-04 00:00:00-04:00,603.75,604.25,587.0,589.75,76333,0.0,0.0
2024-10-07 00:00:00-04:00,590.25,595.25,584.0,592.5,55580,0.0,0.0
2024-10-08 00:00:00-04:00,593.75,599.0,587.5,594.75,59037,0.0,0.0
2024-10-09 00:00:00-04:00,594.75,604.75,594.25,599.0,55193,0.0,0.0
2024-10-10 00:00:00-04:00,600.75,609.25,598.5,603.75,60990,0.0,0.0
2024-10-11 00:00:00-04:00,603.75,611.25,592.5,599.0,75587,0.0,0.0
2024-10-14 00:00:00-04:00,598.5,601.0,584.25,585.25,55970,0.0,0.0
2024-10-15 00:00:00-04:00,585.5,586.75,578.0,579.5,69756,0.0,0.0
2024-10-16 00:00:00-04:00,581.25,587.5,575.25,585.0,57508,0.0,0.0
2024-10-17 00:00:00-04:00,584.25,591.75,576.25,589.5,75298,0.0,0.0
2024-10-18 00:00:00-04:00,590.0,595.5,570.25,572.75,82026,0.0,0.0
2024-10-21 00:00:00-04:00,572.75,584.25,570.75,572.25,74088,0.0,0.0
2024-10-22 00:00:00-04:00,574.0,578.75,565.75,576.0,49868,0.0,0.0
2024-10-23 00:00:00-04:00,575.75,582.75,566.25,578.5,57247,0.0,0.0
2024-10-24 00:00:00-04:00,579.0,584.25,575.0,581.5,49883,0.0,0.0
2024-10-25 00:00:00-04:00,581.25,585.5,566.0,569.0,75987,0.0,0.0
2024-10-28 00:00:00-04:00,564.25,571.5,557.75,558.75,61302,0.0,0.0
2024-10-29 00:00:00-04:00,559.0,572.75,558.0,570.5,67415,0.0,0.0
2024-10-30 00:00:00-04:00,571.25,580.5,564.0,573.25,68179,0.0,0.0
2024-10-31 00:00:00-04:00,572.75,573.75,563.5,570.5,61593,0.0,0.0
2024-11-01 00:00:00-04:00,571.5,577.75,564.25,568.0,54164,0.0,0.0
2024-11-04 00:00:00-05:00,569.0,575.75,565.0,568.75,55475,0.0,0.0
2024-11-05 00:00:00-05:00,569.5,574.5,565.25,572.5,58641,0.0,0.0
2024-11-06 00:00:00-05:00,571.0,577.75,562.0,573.25,67945,0.0,0.0
2024-11-07 00:00:00-05:00,574.5,579.5,565.0,571.5,105864,0.0,0.0
2024-11-08 00:00:00-05:00,572.5,578.75,566.5,572.5,112145,0.0,0.0
2024-11-11 00:00:00-05:00,572.75,572.75,551.75,565.5,125709,0.0,0.0
2024-11-12 00:00:00-05:00,564.75,568.75,549.0,552.25,105727,0.0,0.0
2024-11-13 00:00:00-05:00,553.25,553.75,536.25,541.0,113238,0.0,0.0
2024-11-14 00:00:00-05:00,540.0,544.25,528.0,530.25,89913,0.0,0.0
2024-11-15 00:00:00-05:00,532.0,541.25,530.5,536.5,73593,0.0,0.0
2024-11-18 00:00:00-05:00,541.0,551.0,536.75,547.25,68144,0.0,0.0
2024-11-19 00:00:00-05:00,547.75,558.75,545.5,549.75,57490,0.0,0.0
2024-11-20 00:00:00-05:00,549.5,555.25,543.5,552.5,41277,0.0,0.0
2024-11-21 00:00:00-05:00,552.5,557.5,547.75,548.75,34966,0.0,0.0
2024-11-22 00:00:00-05:00,548.0,550.5,542.5,544.25,36559,0.0,0.0
2024-11-25 00:00:00-05:00,544.75,547.5,529.5,535.75,30009,0.0,0.0
2024-11-26 00:00:00-05:00,535.75,543.5,532.75,539.5,34123,0.0,0.0
2024-11-27 00:00:00-05:00,538.25,542.75,531.0,537.75,18864,0.0,0.0
2024-11-29 00:00:00-05:00,535.0,545.25,531.75,532.25,1246,0.0,0.0
2024-12-02 00:00:00-05:00,536.25,539.5,531.25,537.5,63,0.0,0.0
2024-12-03 00:00:00-05:00,539.0,544.75,536.75,536.75,47,0.0,0.0
2024-12-04 00:00:00-05:00,537.25,541.0,535.75,538.0,43,0.0,0.0
2024-12-05 00:00:00-05:00,537.5,546.75,535.5,546.75,22,0.0,0.0
2024-12-06 00:00:00-05:00,544.75,546.0,542.5,542.5,27,0.0,0.0
2024-12-09 00:00:00-05:00,541.25,541.25,541.25,541.25,10,0.0,0.0
2024-12-10 00:00:00-05:00,545.0,545.0,542.0,542.0,2,0.0,0.0
2024-12-11 00:00:00-05:00,544.0,552.5,543.5,543.5,56,0.0,0.0
2024-12-12 00:00:00-05:00,535.0,538.75,533.25,538.75,24,0.0,0.0
2024-12-13 00:00:00-05:00,526.5,526.5,526.5,526.5,49134,0.0,0.0
2024-12-16 00:00:00-05:00,552.25,559.25,548.5,550.0,68005,0.0,0.0
2024-12-17 00:00:00-05:00,550.75,552.5,542.5,545.0,72661,0.0,0.0
2024-12-18 00:00:00-05:00,545.0,554.25,540.0,541.25,63252,0.0,0.0
2024-12-19 00:00:00-05:00,541.0,541.75,530.5,533.0,87290,0.0,0.0
2024-12-20 00:00:00-05:00,532.5,537.25,529.25,533.0,55084,0.0,0.0
2024-12-23 00:00:00-05:00,533.0,544.0,533.0,540.5,57507,0.0,0.0
2024-12-24 00:00:00-05:00,539.5,541.5,533.5,534.75,25215,0.0,0.0
2024-12-26 00:00:00-05:00,534.75,544.0,533.75,541.0,28461,0.0,0.0
2024-12-27 00:00:00-05:00,542.0,547.75,537.25,546.5,43052,0.0,0.0
2024-12-30 00:00:00-05:00,547.25,554.75,544.5,548.25,46874,0.0,0.0
2024-12-31 00:00:00-05:00,548.75,552.75,546.75,551.5,33827,0.0,0.0
2025-01-02 00:00:00-05:00,551.75,552.75,542.5,545.75,33827,0.0,0.0
2025-01-03 00:00:00-05:00,545.5,547.0,534.5,534.5,28821,0.0,0.0
