Area Code (ISO3),Area,Item,prices,undernourishment
ESP,Spain,"Consumer Prices, Food Indices (2015 = 100)",121.607945,2.5
SWE,Sweden,"Consumer Prices, Food Indices (2015 = 100)",121.079431,2.5
CHE,Switzerland,"Consumer Prices, Food Indices (2015 = 100)",101.987809,2.5
TUR,Türkiye,"Consumer Prices, Food Indices (2015 = 100)",433.317913,2.5
UKR,Ukraine,"Consumer Prices, Food Indices (2015 = 100)",210.245598,2.5
GBR,United Kingdom of Great Britain and Northern Ireland,"Consumer Prices, Food Indices (2015 = 100)",112.6,2.5
USA,United States of America,"Consumer Prices, Food Indices (2015 = 100)",118.175424,2.5
URY,Uruguay,"Consumer Prices, Food Indices (2015 = 100)",176.525384,2.5
UZB,Uzbekistan,"Consumer Prices, Food Indices (2015 = 100)",267.377761,2.5
JPN,Japan,"Consumer Prices, Food Indices (2015 = 100)",110.025424,2.6
TUN,Tunisia,"Consumer Prices, Food Indices (2015 = 100)",149.9,2.7
ARE,United Arab Emirates,"Consumer Prices, Food Indices (2015 = 100)",115.247722,2.7
ARG,Argentina,"Consumer Prices, Food Indices (2015 = 100)",971.015579,2.8
SVK,Slovakia,"Consumer Prices, Food Indices (2015 = 100)",132.057786,2.8
KIR,Kiribati,"Consumer Prices, Food Indices (2015 = 100)",105.468559,2.9
SAU,Saudi Arabia,"Consumer Prices, Food Indices (2015 = 100)",126.586847,3
MEX,Mexico,"Consumer Prices, Food Indices (2015 = 100)",155.395215,3.1
MMR,Myanmar,"Consumer Prices, Food Indices (2015 = 100)",158.44855,3.4
MAR,Morocco,"Consumer Prices, Food Indices (2015 = 100)",114.467956,3.5
LKA,Sri Lanka,"Consumer Prices, Food Indices (2015 = 100)",219.251484,3.8
GEO,Georgia,"Consumer Prices, Food Indices (2015 = 100)",174.252277,4
ALB,Albania,"Consumer Prices, Food Indices (2015 = 100)",136.358862,4.2
COL,Colombia,"Consumer Prices, Food Indices (2015 = 100)",172.185108,4.2
BLZ,Belize,"Consumer Prices, Food Indices (2015 = 100)",111.021651,4.3
MLI,Mali,"Consumer Prices, Food Indices (2015 = 100)",118.259735,4.4
PAN,Panama,"Consumer Prices, Food Indices (2015 = 100)",104.581489,4.4
WSM,Samoa,"Consumer Prices, Food Indices (2015 = 100)",127.123863,4.4
SEN,Senegal,"Consumer Prices, Food Indices (2015 = 100)",126.671645,4.5
KHM,Cambodia,"Consumer Prices, Food Indices (2015 = 100)",129.473514,4.6
DOM,Dominican Republic,"Consumer Prices, Food Indices (2015 = 100)",145.449336,4.6
KGZ,Kyrgyzstan,"Consumer Prices, Food Indices (2015 = 100)",145.550684,4.6
CMR,Cameroon,"Consumer Prices, Food Indices (2015 = 100)",126.373131,4.8
VCT,Saint Vincent and the Grenadines,"Consumer Prices, Food Indices (2015 = 100)",118.248389,4.8
PYF,French Polynesia,"Consumer Prices, Food Indices (2015 = 100)",115.961212,5
NPL,Nepal,"Consumer Prices, Food Indices (2015 = 100)",140.486236,5
VNM,Viet Nam,"Consumer Prices, Food Indices (2015 = 100)",121.711111,5.2
LAO,Lao People's Democratic Republic,"Consumer Prices, Food Indices (2015 = 100)",133.64244,5.4
FJI,Fiji,"Consumer Prices, Food Indices (2015 = 100)",123.040894,5.5
LBN,Lebanon,"Consumer Prices, Food Indices (2015 = 100)",4893.00791,5.6
NCL,New Caledonia,"Consumer Prices, Food Indices (2015 = 100)",112.750274,5.6
PHL,Philippines,"Consumer Prices, Food Indices (2015 = 100)",126.587972,5.6
THA,Thailand,"Consumer Prices, Food Indices (2015 = 100)",111.688248,5.6
OMN,Oman,"Consumer Prices, Food Indices (2015 = 100)",104.683024,5.7
ZAF,South Africa,"Consumer Prices, Food Indices (2015 = 100)",151.907792,5.7
PER,Peru,"Consumer Prices, Food Indices (2015 = 100)",127.33302,5.8
MAC,"China, Macao SAR","Consumer Prices, Food Indices (2015 = 100)",117.326426,5.9
GHA,Ghana,"Consumer Prices, Food Indices (2015 = 100)",212.012894,5.9
IDN,Indonesia,"Consumer Prices, Food Indices (2015 = 100)",132.188335,5.9
MUS,Mauritius,"Consumer Prices, Food Indices (2015 = 100)",136.731694,5.9
JAM,Jamaica,"Consumer Prices, Food Indices (2015 = 100)",152.205658,6.2
EGY,Egypt,"Consumer Prices, Food Indices (2015 = 100)",255.319611,6.3
IRN,Iran (Islamic Republic of),"Consumer Prices, Food Indices (2015 = 100)",640.582972,6.5
SLV,El Salvador,"Consumer Prices, Food Indices (2015 = 100)",117.090935,6.6
MRT,Mauritania,"Consumer Prices, Food Indices (2015 = 100)",137.233851,6.7
TTO,Trinidad and Tobago,"Consumer Prices, Food Indices (2015 = 100)",127.562517,6.8
DMA,Dominica,"Consumer Prices, Food Indices (2015 = 100)",112.521609,7
JOR,Jordan,"Consumer Prices, Food Indices (2015 = 100)",107.158726,7
VUT,Vanuatu,"Consumer Prices, Food Indices (2015 = 100)",145.978132,7.4
LBY,Libya,"Consumer Prices, Food Indices (2015 = 100)",215.498538,7.8
ECU,Ecuador,"Consumer Prices, Food Indices (2015 = 100)",105.48919,8.5
TJK,Tajikistan,"Consumer Prices, Food Indices (2015 = 100)",176.529436,8.7
CIV,Côte d'Ivoire,"Consumer Prices, Food Indices (2015 = 100)",117.538953,8.8
SUR,Suriname,"Consumer Prices, Food Indices (2015 = 100)",730.370215,9.1
BEN,Benin,"Consumer Prices, Food Indices (2015 = 100)",108.410717,9.2
SDN,Sudan,"Consumer Prices, Food Indices (2015 = 100)",6456.702237,9.2
GIN,Guinea,"Consumer Prices, Food Indices (2015 = 100)",234.376591,9.9
IND,India,"Consumer Prices, Food Indices (2015 = 100)",135.817167,10.3
NGA,Nigeria,"Consumer Prices, Food Indices (2015 = 100)",292.921707,10.5
PAK,Pakistan,"Consumer Prices, Food Indices (2015 = 100)",176.731908,10.6
NER,Niger,"Consumer Prices, Food Indices (2015 = 100)",122.942803,11
VEN,Venezuela (Bolivarian Republic of),"Consumer Prices, Food Indices (2015 = 100)",3.15532E+11,11.1
BGD,Bangladesh,"Consumer Prices, Food Indices (2015 = 100)",145.085323,11.8
DJI,Djibouti,"Consumer Prices, Food Indices (2015 = 100)",135.298253,11.9
GMB,Gambia,"Consumer Prices, Food Indices (2015 = 100)",176.615601,11.9
TLS,Timor-Leste,"Consumer Prices, Food Indices (2015 = 100)",116.955291,12.2
CPV,Cabo Verde,"Consumer Prices, Food Indices (2015 = 100)",117.527267,12.6
GTM,Guatemala,"Consumer Prices, Food Indices (2015 = 100)",164.100159,12.6
TGO,Togo,"Consumer Prices, Food Indices (2015 = 100)",130.975733,12.8
BFA,Burkina Faso,"Consumer Prices, Food Indices (2015 = 100)",137.917692,13.5
HND,Honduras,"Consumer Prices, Food Indices (2015 = 100)",130.160686,13.7
AGO,Angola,"Consumer Prices, Food Indices (2015 = 100)",479.087142,14
ETH,Ethiopia,"Consumer Prices, Food Indices (2015 = 100)",339.796506,14
GAB,Gabon,"Consumer Prices, Food Indices (2015 = 100)",113.482881,14.1
BOL,Bolivia (Plurinational State of),"Consumer Prices, Food Indices (2015 = 100)",116.209819,14.5
MWI,Malawi,"Consumer Prices, Food Indices (2015 = 100)",270.44345,15.5
