East Renfrewshire,S12000011,0.14
Na h-Eileanan Siar,S12000013,0.19
Falkirk,S12000014,0.26
Highland,S12000017,0.23
Inverclyde,S12000018,0.26
Midlothian,S12000019,0.23
Moray,S12000020,0.24
North Ayrshire,S12000021,0.29
Orkney Islands,S12000023,0.19
Scottish Borders,S12000026,0.24
Shetland Islands,S12000027,0.16
South Ayrshire,S12000028,0.25
South Lanarkshire,S12000029,0.24
Stirling,S12000030,0.21
Aberdeen City,S12000033,0.22
Aberdeenshire,S12000034,0.16
Argyll and Bute,S12000035,0.23
City of Edinburgh,S12000036,0.20
Renfrewshire,S12000038,0.24
West Dunbartonshire,S12000039,0.28
West Lothian,S12000040,0.25
Angus,S12000041,0.25
Dundee City,S12000042,0.28
East Dunbartonshire,S12000045,0.16
Fife,S12000047,0.27
Perth and Kinross,S12000048,0.22
Glasgow City,S12000049,0.33
North Lanarkshire,S12000050,0.27
Medway,E06000035,0.31
Bracknell Forest,E06000036,0.19
West Berkshire,E06000037,0.20
Reading,E06000038,0.30
Slough,E06000039,0.36
Windsor and Maidenhead,E06000040,0.18
Wokingham,E06000041,0.15
Milton Keynes,E06000042,0.31
Brighton and Hove,E06000043,0.26
Portsmouth,E06000044,0.36
Southampton,E06000045,0.38
Isle of Wight,E06000046,0.36
Buckinghamshire,E06000060,0.23
Eastbourne,E07000061,0.33
Hastings,E07000062,0.38
Lewes,E07000063,0.25
Rother,E07000064,0.32
Wealden,E07000065,0.25
Basingstoke and Deane,E07000084,0.21
East Hampshire,E07000085,0.20
Eastleigh,E07000086,0.21
Fareham,E07000087,0.20
Gosport,E07000088,0.33
Hart,E07000089,0.14
Havant,E07000090,0.34
New Forest,E07000091,0.25
Rushmoor,E07000092,0.23
Test Valley,E07000093,0.20
Winchester,E07000094,0.18
Ashford,E07000105,0.29
Canterbury,E07000106,0.30
Dartford,E07000107,0.26
Dover,E07000108,0.35
Gravesham,E07000109,0.33
Maidstone,E07000110,0.27
Sevenoaks,E07000111,0.23
Folkestone and Hythe,E07000112,0.33
Swale,E07000113,0.31
Thanet,E07000114,0.38
